Filename,Camera,Site,Model,SerialNo,DateTimeOriginal,DateTime,Date,Time,Sequence,Flash,Latitude,Longitude,Ta,Species,TriggerMode,Keywords,Keywords,Keywords,Keywords,Keywords,Keywords,
IMG_0361.JPG,W06,PL,H600HG05181656,,2014/03/07 20:55:08,2014/03/07 20:55:08,7/03/2014,8:55:08 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0381.JPG,W06,PL,H600HG05181656,,2014/03/07 20:59:57,2014/03/07 20:59:57,7/03/2014,8:59:57 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0391.JPG,W06,PL,H600HG05181656,,2014/03/07 22:03:13,2014/03/07 22:03:13,7/03/2014,10:03:13 PM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0181.JPG,W01,PL,H600HG06182820,,2014/03/08 22:25:05,2014/03/08 22:25:05,8/03/2014,10:25:05 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0481.JPG,W07,PL,H600HG05181655,,2014/03/09 02:10:41,2014/03/09 02:10:41,9/03/2014,2:10:41 AM,-,,,,12,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0511.JPG,B13,PL,H600HG05181639,,2014/03/09 20:08:45,2014/03/09 20:08:45,9/03/2014,8:08:45 PM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0231.JPG,W01,PL,H600HG06182820,,2014/03/11 18:48:21,2014/03/11 18:48:21,11/03/2014,6:48:21 PM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0611.JPG,MG02,PL,H600HG06182846,,2014/03/11 21:18:55,2014/03/11 21:18:55,11/03/2014,9:18:55 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1561.JPG,W03,PL,H600HG06182751,,2014/03/11 22:43:40,2014/03/11 22:43:40,11/03/2014,10:43:40 PM,-,,,,11,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0461.JPG,B11,PL,H600HG06182719,,2014/03/12 02:35:55,2014/03/12 02:35:55,12/03/2014,2:35:55 AM,-,,,,8,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0261.JPG,W01,PL,H600HG06182820,,2014/03/12 18:44:24,2014/03/12 18:44:24,12/03/2014,6:44:24 PM,-,,,,20,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0611.JPG,B12,PL,H600HG05182145,,2014/03/12 20:04:10,2014/03/12 20:04:10,12/03/2014,8:04:10 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0621.JPG,MG02,PL,H600HG06182846,,2014/03/13 00:24:35,2014/03/13 00:24:35,13/03/2014,12:24:35 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0641.JPG,B12,PL,H600HG05182145,,2014/03/13 02:28:15,2014/03/13 02:28:15,13/03/2014,2:28:15 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0601.JPG,B11,PL,H600HG06182719,,2014/03/14 02:40:59,2014/03/14 02:40:59,14/03/2014,2:40:59 AM,-,,,,11,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0611.JPG,B11,PL,H600HG06182719,,2014/03/14 03:32:25,2014/03/14 03:32:25,14/03/2014,3:32:25 AM,-,,,,10,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0631.JPG,B11,PL,H600HG06182719,,2014/03/14 19:08:20,2014/03/14 19:08:20,14/03/2014,7:08:20 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0811.JPG,W07,PL,H600HG05181655,,2014/03/14 22:31:52,2014/03/14 22:31:52,14/03/2014,10:31:52 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0781.JPG,B12,PL,H600HG05182145,,2014/03/15 00:32:41,2014/03/15 00:32:41,15/03/2014,12:32:41 AM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0711.JPG,B11,PL,H600HG06182719,,2014/03/16 03:55:07,2014/03/16 03:55:07,16/03/2014,3:55:07 AM,-,,,,10,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0341.JPG,W01,PL,H600HG06182820,,2014/03/16 19:19:47,2014/03/16 19:19:47,16/03/2014,7:19:47 PM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0361.JPG,W01,PL,H600HG06182820,,2014/03/17 18:39:59,2014/03/17 18:39:59,17/03/2014,6:39:59 PM,-,,,,20,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0871.JPG,B12,PL,H600HG05182145,,2014/03/17 19:49:13,2014/03/17 19:49:13,17/03/2014,7:49:13 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0451.JPG,W06,PL,H600HG05181656,,2014/03/17 23:40:09,2014/03/17 23:40:09,17/03/2014,11:40:09 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0461.JPG,W06,PL,H600HG05181656,,2014/03/18 00:32:29,2014/03/18 00:32:29,18/03/2014,12:32:29 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0371.JPG,W01,PL,H600HG06182820,,2014/03/18 00:40:47,2014/03/18 00:40:47,18/03/2014,12:40:47 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_2351.JPG,B01,PL,H600HG06182708,,2014/03/18 01:57:18,2014/03/18 01:57:18,18/03/2014,1:57:18 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,PRE,TRAIL,
IMG_0381.JPG,W01,PL,H600HG06182820,,2014/03/18 19:06:47,2014/03/18 19:06:47,18/03/2014,7:06:47 PM,-,,,,21,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0471.JPG,W06,PL,H600HG05181656,,2014/03/18 21:06:13,2014/03/18 21:06:13,18/03/2014,9:06:13 PM,-,,,,19,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0391.JPG,W01,PL,H600HG06182820,,2014/03/19 03:17:06,2014/03/19 03:17:06,19/03/2014,3:17:06 AM,-,,,,18,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0921.JPG,B12,PL,H600HG05182145,,2014/03/19 23:23:01,2014/03/19 23:23:01,19/03/2014,11:23:01 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0601.JPG,W06,PL,H600HG05181656,,2014/03/20 01:04:39,2014/03/20 01:04:39,20/03/2014,1:04:39 AM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_3081.JPG,B06,PL,H600HG06182822,,2014/03/20 04:51:24,2014/03/20 04:51:24,20/03/2014,4:51:24 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1291.JPG,W07,PL,H600HG05181655,,2014/03/20 18:32:20,2014/03/20 18:32:20,20/03/2014,6:32:20 PM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0591.JPG,B13,PL,H600HG05181639,,2014/03/21 23:16:45,2014/03/21 23:16:45,21/03/2014,11:16:45 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0841.JPG,W06,PL,H600HG05181656,,2014/03/22 00:28:56,2014/03/22 00:28:56,22/03/2014,12:28:56 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1311.JPG,W07,PL,H600HG05181655,,2014/03/22 01:07:21,2014/03/22 01:07:21,22/03/2014,1:07:21 AM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0851.JPG,W06,PL,H600HG05181656,,2014/03/22 01:32:38,2014/03/22 01:32:38,22/03/2014,1:32:38 AM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0411.JPG,W01,PL,H600HG06182820,,2014/03/22 18:34:49,2014/03/22 18:34:49,22/03/2014,6:34:49 PM,-,,,,19,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0881.JPG,W06,PL,H600HG05181656,,2014/03/22 22:36:27,2014/03/22 22:36:27,22/03/2014,10:36:27 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_2041.JPG,W04,PL,H600HG05182327,,2014/03/23 02:10:46,2014/03/23 02:10:46,23/03/2014,2:10:46 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0421.JPG,W01,PL,H600HG06182820,,2014/03/24 00:52:13,2014/03/24 00:52:13,24/03/2014,12:52:13 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0761.JPG,B13,PL,H600HG05181639,,2014/03/28 21:32:35,2014/03/28 21:32:35,28/03/2014,9:32:35 PM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0771.JPG,B13,PL,H600HG05181639,,2014/03/28 22:12:10,2014/03/28 22:12:10,28/03/2014,10:12:10 PM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1481.JPG,W07,PL,H600HG05181655,,2014/03/28 23:35:44,2014/03/28 23:35:44,28/03/2014,11:35:44 PM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0451.JPG,W01,PL,H600HG06182820,,2014/03/29 01:08:10,2014/03/29 01:08:10,29/03/2014,1:08:10 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0781.JPG,B13,PL,H600HG05181639,,2014/03/29 01:19:26,2014/03/29 01:19:26,29/03/2014,1:19:26 AM,-,,,,13,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_2991.JPG,B01,PL,H600HG06182708,,2014/03/29 01:24:51,2014/03/29 01:24:51,29/03/2014,1:24:51 AM,-,,,,12,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,PRE,TRAIL,
IMG_0481.JPG,W01,PL,H600HG06182820,,2014/03/29 18:34:59,2014/03/29 18:34:59,29/03/2014,6:34:59 PM,-,,,,19,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1561.JPG,W07,PL,H600HG05181655,,2014/03/29 18:48:10,2014/03/29 18:48:10,29/03/2014,6:48:10 PM,-,,,,18,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0491.JPG,W01,PL,H600HG06182820,,2014/03/29 22:26:59,2014/03/29 22:26:59,29/03/2014,10:26:59 PM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0521.JPG,W01,PL,H600HG06182820,,2014/03/30 03:44:12,2014/03/30 03:44:12,30/03/2014,3:44:12 AM,-,,,,14,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1611.JPG,W07,PL,H600HG05181655,,2014/03/31 19:46:00,2014/03/31 19:46:00,31/03/2014,7:46:00 PM,-,,,,17,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1621.JPG,W07,PL,H600HG05181655,,2014/04/01 02:38:15,2014/04/01 02:38:15,1/04/2014,2:38:15 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1531.JPG,W06,PL,H600HG05181656,,2014/04/02 02:00:14,2014/04/02 02:00:14,2/04/2014,2:00:14 AM,-,,,,16,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_0581.JPG,W01,PL,H600HG06182820,,2014/04/02 18:20:45,2014/04/02 18:20:45,2/04/2014,6:20:45 PM,-,,,,18,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
IMG_1251.JPG,MG02,PL,H600HG06182846,,2014/04/03 00:50:09,2014/04/03 00:50:09,3/04/2014,12:50:09 AM,-,,,,15,BTP,Motion Detection,2014,BTP,PASSIVE,PDY,TEN,TRAIL,
